timestamp,nupl,nup,nul
2023-09-09,0.21804645,0.39304205,0.1748848
2023-09-10,0.21595619,0.39237714,0.17641605
2023-09-11,0.19528815,0.38689003,0.19229242
2023-09-12,0.21669647,0.39246639,0.17562304
2023-09-13,0.22808067,0.39560232,0.16735834
2023-09-14,0.23671049,0.39742623,0.16149262
2023-09-15,0.23847435,0.39914668,0.15944207
2023-09-16,0.23770544,0.39770927,0.16049659
2023-09-17,0.23669488,0.39720533,0.16119362
2023-09-18,0.24280185,0.3993658,0.15665637
2023-09-19,0.25505913,0.40315542,0.14809548
2023-09-20,0.25248563,0.40273379,0.1491807
2023-09-21,0.23691943,0.39673948,0.16003266
2023-09-22,0.23733156,0.39687778,0.15961653
2023-09-23,0.23729631,0.39665245,0.15965221
2023-09-24,0.22812192,0.39448435,0.16571829
2023-09-25,0.22916824,0.39444485,0.164977
2023-09-26,0.22669026,0.39256583,0.16732051
2023-09-27,0.23105018,0.3930761,0.16450402
2023-09-28,0.25002397,0.40085939,0.15051681
2023-09-29,0.24655333,0.39954705,0.15253412
2023-09-30,0.24795595,0.40007642,0.15140739
2023-10-01,0.27580027,0.40922561,0.1344257
2023-10-02,0.26236463,0.40721981,0.14080474
2023-10-03,0.26047773,0.40408915,0.14287308
2023-10-04,0.26956526,0.40693218,0.13714682
2023-10-05,0.25980248,0.40338318,0.14300323
2023-10-06,0.2736891,0.40756708,0.13454562
2023-10-07,0.27427381,0.40753446,0.13396764
2023-10-08,0.27313803,0.40736201,0.13445408
2023-10-09,0.26470107,0.40332649,0.13965788
2023-10-10,0.25849031,0.40180714,0.14304622
2023-10-11,0.2444888,0.39656132,0.15239737
2023-10-12,0.24102691,0.39516744,0.15476463
2023-10-13,0.24421455,0.39596512,0.15250287
2023-10-14,0.24363312,0.39596675,0.15211268
2023-10-15,0.25238636,0.39843948,0.14641575
2023-10-16,0.2872841,0.41235111,0.12483469
2023-10-17,0.28436329,0.4104568,0.12642279
2023-10-18,0.28208645,0.40963114,0.12740958
2023-10-19,0.29205609,0.4126185,0.1218623
2023-10-20,0.31422363,0.42437897,0.10920762
2023-10-21,0.31954226,0.42633034,0.10665217
2023-10-22,0.32147004,0.42703984,0.10564858
2023-10-23,0.38340418,0.4555836,0.07926436
2023-10-24,0.39693245,0.46570165,0.07203748
2023-10-25,0.40618251,0.47288433,0.0672207
2023-10-26,0.39926457,0.4688203,0.0695758
2023-10-27,0.39418259,0.46609194,0.07142889
2023-10-28,0.39716433,0.46688146,0.07010826
2023-10-29,0.40466271,0.47189242,0.06665578
2023-10-30,0.40327943,0.47044948,0.0670546
2023-10-31,0.40559612,0.47208704,0.06576015
2023-11-01,0.41736418,0.47857944,0.06068985
2023-11-02,0.40899785,0.47252587,0.06397191
2023-11-03,0.4047095,0.46944356,0.06551758
2023-11-04,0.41014205,0.47305516,0.0631027
2023-11-05,0.40916015,0.47416831,0.06301596
2023-11-06,0.40954937,0.47102797,0.06336242
2023-11-07,0.41512889,0.47560455,0.06064811
2023-11-08,0.41822195,0.48208412,0.05823804
2023-11-09,0.4336414,0.48653883,0.05249483
2023-11-10,0.4421899,0.49149455,0.04896584
2023-11-11,0.43916866,0.48422034,0.05104237
2023-11-12,0.43811611,0.48812842,0.05040426
2023-11-13,0.42816365,0.48463829,0.05368128
2023-11-14,0.41343912,0.47328001,0.06040729
2023-11-15,0.44907996,0.49275758,0.04615413
2023-11-16,0.42222584,0.47962041,0.0557842
2023-11-17,0.42940245,0.48043571,0.05326142
2023-11-18,0.42868403,0.48143844,0.05313946
2023-11-19,0.44047525,0.49164876,0.04786244
2023-11-20,0.44114014,0.49003054,0.04773538
2023-11-21,0.41310073,0.47577454,0.05859278
2023-11-22,0.43522261,0.49075133,0.04854315
2023-11-23,0.43726151,0.48510186,0.04905226
2023-11-24,0.44311945,0.48884506,0.04658668
2023-11-25,0.44383009,0.49018012,0.04606166
2023-11-26,0.43875117,0.48780563,0.04770947
2023-11-27,0.43538111,0.48209373,0.0497011
2023-11-28,0.44359592,0.49033027,0.04572648
2023-11-29,0.44371211,0.48865536,0.04578757
2023-11-30,0.4414442,0.48693406,0.04610447
2023-12-01,0.4545068,0.4956281,0.0411136
2023-12-02,0.46488652,0.50258369,0.03762246
2023-12-03,0.47139504,0.50627044,0.03558672
2023-12-04,0.49513005,0.52081284,0.02851061
2023-12-05,0.51798916,0.53929854,0.02185843
2023-12-06,0.51280153,0.53613336,0.02262168
2023-12-07,0.50650437,0.53220607,0.02403592
2023-12-08,0.51595059,0.53718021,0.02147108
2023-12-09,0.51026331,0.53346397,0.02280767
2023-12-10,0.51083963,0.53333322,0.02260948
2023-12-11,0.48014488,0.51058551,0.03217893
2023-12-12,0.48216324,0.51365579,0.03060899
2023-12-13,0.49860768,0.52521137,0.02537014
2023-12-14,0.49979963,0.52712968,0.02466647
2023-12-15,0.48603408,0.51536733,0.02891634
2023-12-16,0.48973367,0.51670947,0.0277321
2023-12-17,0.47846261,0.51039892,0.03125829
2023-12-18,0.49364238,0.51926542,0.02625285
2023-12-19,0.48835679,0.51555875,0.02766733
2023-12-20,0.50362977,0.52604441,0.02298325
2023-12-21,0.50572029,0.52739098,0.02225369
2023-12-22,0.50650372,0.52866033,0.0217781
2023-12-23,0.50306105,0.52640843,0.02255636
2023-12-24,0.49408857,0.51929677,0.02522941
2023-12-25,0.50063051,0.52451604,0.02298497
2023-12-26,0.48739635,0.51479569,0.02691404
2023-12-27,0.49707693,0.51875143,0.02367735
2023-12-28,0.48609424,0.51366068,0.02657097
2023-12-29,0.47924455,0.50629939,0.02895561
2023-12-30,0.47987951,0.50951822,0.02801039
2023-12-31,0.48132768,0.50754646,0.02788681
2024-01-01,0.50347374,0.52284315,0.02123544
2024-01-02,0.51097789,0.52844489,0.01923633
