timestamp,average_dormancy,sa_average_dormancy
2021-12-12,1.17205979,6e-08
2021-12-13,3.16428857,1.7e-07
2021-12-14,2.26742772,1.2e-07
2021-12-15,2.07495078,1.1e-07
2021-12-16,3.12695352,1.7e-07
2021-12-17,2.03667538,1.1e-07
2021-12-18,1.92301376,1e-07
2021-12-19,1.35113292,7e-08
2021-12-20,2.41370551,1.3e-07
2021-12-21,2.37232627,1.3e-07
2021-12-22,3.20791631,1.7e-07
2021-12-23,3.31969007,1.8e-07
2021-12-24,1.28689647,7e-08
2021-12-25,2.3661586,1.3e-07
2021-12-26,2.68515817,1.4e-07
2021-12-27,1.81569035,1e-07
2021-12-28,1.84752041,1e-07
2021-12-29,2.58940266,1.4e-07
2021-12-30,5.08414014,2.7e-07
2021-12-31,6.03413935,3.2e-07
2022-01-01,2.51379826,1.3e-07
2022-01-02,0.89599499,5e-08
2022-01-03,2.17749336,1.2e-07
2022-01-04,2.29896585,1.2e-07
2022-01-05,2.17104037,1.1e-07
2022-01-06,3.34509205,1.8e-07
2022-01-07,2.05929501,1.1e-07
2022-01-08,1.185072,6e-08
2022-01-09,1.36297039,7e-08
2022-01-10,2.15111354,1.1e-07
2022-01-11,0.73839364,4e-08
2022-01-12,1.94766547,1e-07
2022-01-13,0.94617021,5e-08
2022-01-14,1.16991443,6e-08
2022-01-15,0.61296834,3e-08
2022-01-16,0.78778858,4e-08
2022-01-17,1.76037286,9e-08
2022-01-18,1.35352258,7e-08
2022-01-19,2.62070263,1.4e-07
2022-01-20,2.6783552,1.4e-07
2022-01-21,1.97328236,1e-07
2022-01-22,1.42924316,8e-08
2022-01-23,1.65190379,9e-08
2022-01-24,1.52196764,8e-08
2022-01-25,2.19218652,1.2e-07
2022-01-26,1.18768973,6e-08
2022-01-27,2.5566289,1.3e-07
2022-01-28,1.29319822,7e-08
2022-01-29,1.94889967,1e-07
2022-01-30,1.31541374,7e-08
2022-01-31,1.22517059,6e-08
2022-02-01,51.01965017,2.69e-06
2022-02-02,1.17909972,6e-08
2022-02-03,1.69920866,9e-08
2022-02-04,0.87325072,5e-08
2022-02-05,1.06644537,6e-08
2022-02-06,1.59160793,8e-08
2022-02-07,1.75503671,9e-08
2022-02-08,0.57647217,3e-08
2022-02-09,1.15890904,6e-08
2022-02-10,2.23493564,1.2e-07
2022-02-11,2.18571207,1.2e-07
2022-02-12,1.01965048,5e-08
2022-02-13,1.05168978,6e-08
2022-02-14,1.09343827,6e-08
2022-02-15,1.87745182,1e-07
2022-02-16,1.12492091,6e-08
2022-02-17,2.45594983,1.3e-07
2022-02-18,1.2715527,7e-08
2022-02-19,0.8285164,4e-08
2022-02-20,1.88941009,1e-07
2022-02-21,3.01528918,1.6e-07
2022-02-22,1.04943486,6e-08
2022-02-23,3.62801647,1.9e-07
2022-02-24,1.27428795,7e-08
2022-02-25,2.03400163,1.1e-07
2022-02-26,1.38025267,7e-08
2022-02-27,2.40698558,1.3e-07
2022-02-28,12.42510871,6.5e-07
2022-03-01,1.81971171,1e-07
2022-03-02,3.05191363,1.6e-07
2022-03-03,2.93914631,1.5e-07
2022-03-04,2.22869398,1.2e-07
2022-03-05,1.099073,6e-08
2022-03-06,1.33991847,7e-08
2022-03-07,3.93567342,2.1e-07
2022-03-08,1.12651794,6e-08
2022-03-09,1.65610922,9e-08
2022-03-10,1.64428667,9e-08
2022-03-11,9.67081775,5.1e-07
2022-03-12,1.55555333,8e-08
2022-03-13,1.07593514,6e-08
2022-03-14,1.41227788,7e-08
