timestamp,cdd,sa_cdd,average_sa_cdd,binary_cdd
2023-09-03,3571933.64314639,0.18340485,0.52091412,0
2023-09-04,5130142.37937276,0.26340019,0.52086606,0
2023-09-05,6148947.33705892,0.31569678,0.52082778,0
2023-09-06,6745113.42588059,0.3462899,0.52079522,0
2023-09-07,4096803.33710773,0.21031747,0.52073731,0
2023-09-08,4032695.95265849,0.20701755,0.5206788,0
2023-09-09,2793946.1454525,0.14341966,0.52060846,0
2023-09-10,2052257.50457676,0.10534211,0.52053104,0
2023-09-11,5436460.14748033,0.27903856,0.52048603,0
2023-09-12,5476859.26070101,0.28109942,0.52044142,0
2023-09-13,3477765.51877279,0.17848766,0.52037771,0
2023-09-14,7219500.96970349,0.37050367,0.52034979,0
2023-09-15,5850150.78179648,0.30021072,0.52030879,0
2023-09-16,2622467.28549157,0.13456981,0.52023696,0
2023-09-17,2203890.16874241,0.11308545,0.52016115,0
2023-09-18,12556136.93267946,0.64424509,0.52018425,1
2023-09-19,29141878.9804527,1.49517926,0.52036571,1
2023-09-20,7514555.75360359,0.38553046,0.52034062,0
2023-09-21,3312724.25378787,0.16995011,0.52027543,0
2023-09-22,2659875.42163588,0.13645187,0.52020403,0
2023-09-23,2576318.63176322,0.13215879,0.52013186,0
2023-09-24,3070597.44740818,0.1575067,0.52006443,0
2023-09-25,5562270.98616275,0.28530416,0.52002079,0
2023-09-26,5416732.36269561,0.27782697,0.51997577,0
2023-09-27,4267639.51175056,0.2188784,0.51991981,0
2023-09-28,6832617.21752864,0.3504144,0.51988832,0
2023-09-29,8612122.12330482,0.44165644,0.51987379,0
2023-09-30,3495577.55949663,0.17925617,0.51981053,0
2023-10-01,3650733.50497684,0.18720424,0.51974876,0
2023-10-02,17731189.93602246,0.90918357,0.51982107,1
2023-10-03,7841117.47356853,0.4020396,0.51979921,0
2023-10-04,11417239.072702,0.58537442,0.51981138,1
2023-10-05,7657606.48006019,0.39259618,0.51978777,0
2023-10-06,9350577.88669271,0.47936818,0.51978027,0
2023-10-07,10171709.9404761,0.5214359,0.51978058,1
2023-10-08,2842333.30274163,0.14570061,0.5197112,0
2023-10-09,15136704.64659164,0.77588258,0.5197587,1
2023-10-10,6952395.33184417,0.35634985,0.51972841,0
2023-10-11,13489996.44303513,0.6914037,0.51976023,1
2023-10-12,6408532.01985178,0.32843956,0.51972477,0
2023-10-13,5058683.2020938,0.25924787,0.51967651,0
2023-10-14,23312413.41989029,1.19466087,0.51980155,1
2023-10-15,2469467.26376353,0.1265428,0.51972871,0
2023-10-16,6240889.54141652,0.31978719,0.51969168,0
