timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2025-03-25 09:00:00,86732.9500000000,87362.0200000000,86653.6500000000,87241.7100000000,296.5605999100,-168.8788506600,0.9246980900,0.0000285800,13.2052726700,0.0000006700
2025-03-25 10:00:00,87241.7000000000,87316.0600000000,86957.2600000000,87145.4600000000,124.1728288500,-2644.8455472700,0.9995992600,-0.0013034000,13.2052726700,0.0000006700
2025-03-25 11:00:00,87145.9700000000,87514.1900000000,87063.8000000000,87391.9800000000,255.4576494400,-302.1285292400,0.9937091500,-0.0023343000,13.2052726700,0.0000006700
2025-03-25 12:00:00,87397.0400000000,87467.6300000000,86944.4200000000,87098.3200000000,211.6618528100,2741.9537450900,0.9967224700,-0.0031120000,13.2052726700,0.0000006700
2025-03-25 13:00:00,87098.3200000000,87997.2000000000,87059.3700000000,87626.1400000000,798.2303407300,-625.7654744000,0.9724472000,-0.0028650800,13.2052726700,0.0000006700
2025-03-25 14:00:00,87626.1400000000,88263.2600000000,87352.7000000000,88047.5900000000,839.9225526600,-275.1558610200,0.9979558000,-0.0028815500,13.2052726700,0.0000006700
2025-03-25 15:00:00,88047.5900000000,88288.2000000000,87742.0700000000,87793.0100000000,756.8826312500,-874.1786200500,0.9128164000,-0.0032324000,13.2052726700,0.0000006700
2025-03-25 16:00:00,87795.1500000000,88010.9600000000,87657.5000000000,87829.2400000000,376.8105948200,-189.2944890200,0.9990800500,-0.0047041800,13.2052726700,0.0000006700
2025-03-25 17:00:00,87829.2500000000,88388.9600000000,87829.2500000000,87962.7600000000,990.6750339100,-319.1750356000,0.9720815800,-0.0058108500,13.2052726700,0.0000006700
2025-03-25 18:00:00,87962.7600000000,88088.0000000000,87614.4900000000,87869.7200000000,454.0588985900,-231.5049896700,0.9980724400,-0.0066830200,13.2052726700,0.0000006700
2025-03-25 19:00:00,87869.7100000000,88323.9900000000,87869.7100000000,88175.6000000000,935.3162928200,-74.2847625900,0.9988108300,-0.0070115000,13.2052726700,0.0000006700
2025-03-25 20:00:00,88164.9500000000,88584.3400000000,87854.5000000000,87902.6500000000,924.2517884800,-545.8355217600,0.9728747300,-0.0073135500,13.2052726700,0.0000006700
