datetime,close,premium_index,price_change,z_score,position,trade,pnl,equity,drawdown
418,42613.54,,62.29000000000087,0.23743672414224853,0,,0,1000000,0
419,42542.12,,-71.42,-0.322916943,0,,0,1000000,0
420,42624.11,,81.98999999999796,0.31999574927935903,0,,0,1000000,0
421,42728.56,,104.44999999999709,0.4141214195625928,0,,0,1000000,0
422,42750.9,,22.340000000003783,0.070013726,0,,0,1000000,0
423,42863.19,,112.29000000000087,0.4469773970791082,0,,0,1000000,0
424,42687.27,,-175.92,-0.76085695,0,,0,1000000,0
425,42692.81,,5.540000000000873,-0.00039194,0,,0,1000000,0
426,42401.21,,-291.6,-1.245650251,0,,0,1000000,0
427,42493.86,,92.65000000000146,0.3646698207495122,0,,0,1000000,0
428,42392.61,,-101.25,-0.447928909,0,,0,1000000,0
429,42463.24,,70.62999999999738,0.27238810838810207,0,,0,1000000,0
430,42696.24,,233,0.9528504896832712,0,,0,1000000,0
431,42575.72,,-120.52,-0.528685884,0,,0,1000000,0
432,41887.57,,-688.15,-2.907517328,0,,0,1000000,0
433,41756.71,,-130.86,-0.572018895,0,,0,1000000,0
434,41450,,-306.71,-1.308973442,0,,0,1000000,0
435,40966.62,,-483.38,-2.049364456,0,,0,1000000,0
436,40677.76,,-288.86,-1.234167422,0,,0,1000000,0
437,41068.61,,390.84999999999854,1.6143703941449312,0,,0,1000000,0
438,41315.53,,246.91999999999825,1.0111866130288856,0,,0,1000000,0
439,41293.5,,-22.03,-0.115932667,0,,0,1000000,0
440,41249.28,,-44.22,-0.208926817,0,,0,1000000,0
441,41224.56,,-24.72,-0.127205955,0,,0,1000000,0
442,41067.29,,-157.27,-0.682698279,0,,0,1000000,0
443,41004,,-63.29,-0.28884563,0,,0,1000000,0
444,41050.96,,46.95999999999913,0.17319155381980003,0,,0,1000000,0
445,41165.96,,115,0.4583345015522824,0,,0,1000000,0
446,41424.66,,258.70000000000437,1.0605543955728354,0,,0,1000000,0
447,41212.6,,-212.06,-0.912312948,0,,0,1000000,0
448,41235.14,,22.540000000000873,0.070851889,0,,0,1000000,0
449,41347.69,,112.55000000000291,0.44806700857838844,0,,0,1000000,0
450,41434.39,,86.69999999999709,0.33973448067000755,0,,0,1000000,0
451,41420.51,,-13.88,-0.081777537,0,,0,1000000,0
452,41288.23,,-132.28,-0.577969851,0,,0,1000000,0
453,41346,,57.77,0.21849424730873934,0,,0,1000000,0
454,40914.33,,-431.67,-1.832657492,0,,0,1000000,0
455,40847.23,,-67.1,-0.304812629,0,,0,1000000,0
456,40354.99,,-492.24,-2.086495063,0,,0,1000000,0
457,41181.49,,826.5,3.440098277443796,0,,0,1000000,0
458,41760.83,,579.3400000000038,2.4042968229823267,0,,0,1000000,0
459,41770.1,,9.269999999996799,0.015239794559985415,0,,0,1000000,0
460,41543.06,,-227.04,-0.975091334,0,,0,1000000,0
461,41596.22,,53.16000000000349,0.19917459726398892,0,,0,1000000,0
462,41644.41,,48.19000000000233,0.17834625437406018,0,,0,1000000,0
463,41624.07,,-20.34,-0.108850192,0,,0,1000000,0
464,41450.98,,-173.09,-0.748996948,0,,0,1000000,0
465,41624.94,,173.95999999999913,0.7054248630794236,0,,0,1000000,0
466,41591.21,,-33.73,-0.164965184,0,,0,1000000,0
467,41604.51,,13.30000000000291,0.032128773,0,,0,1000000,0
468,41577.02,,-27.49,-0.138814508,0,,0,1000000,0
469,41603.31,,26.290000000000873,0.08656744,0,,0,1000000,0
470,41644.25,,40.94000000000233,0.14796285679821553,0,,0,1000000,0
471,41629.81,,-14.44,-0.084124393,0,,0,1000000,0
472,41564.48,,-65.33,-0.297394889,0,,0,1000000,0
473,41492.47,,-72.01,-0.325389523,0,,0,1000000,0
474,41511.69,,19.220000000001164,0.056938388,0,,0,1000000,0
475,41557.73,,46.04000000000087,0.1693360054377691,0,,0,1000000,0
476,41589.3,,31.56999999999971,0.10869493468983704,0,,0,1000000,0
477,41607.79,,18.489999999997963,0.053879094649547224,0,,0,1000000,0
478,41515.86,,-91.93,-0.408870527,0,,0,1000000,0
479,41540.84,,24.979999999995925,0.081077474,0,,0,1000000,0
480,41536.24,,-4.6,-0.042886788,0,,0,1000000,0
481,41560.43,,24.19000000000233,0.077766731,0,,0,1000000,0
482,41580.08,,19.650000000001455,0.058740438,0,,0,1000000,0
483,41604.48,,24.400000000001455,0.078646802,0,,0,1000000,0
484,41722.28,,117.79999999999563,0.47006877923672824,0,,0,1000000,0
485,41701.27,,-21.01,-0.111658037,0,,0,1000000,0
486,41748.66,,47.390000000006694,0.17499360360708874,0,,0,1000000,0
487,41666.67,,-81.99,-0.367213842,0,,0,1000000,0
488,41620.99,,-45.68,-0.215045405,0,,0,1000000,0
489,41635.89,,14.900000000001455,0.038834074,0,,0,1000000,0
490,41678.97,,43.080000000001746,0.1569311975999107,0,,0,1000000,0
491,41662.71,,-16.26,-0.091751673,0,,0,1000000,0
492,41655.19,,-7.52,-0.055123963,0,,0,1000000,0
493,41609.82,,-45.37,-0.213746253,0,,0,1000000,0
494,41578.27,,-31.55,-0.155829211,0,,0,1000000,0
495,41627.58,,49.31000000000495,0.18303996544785683,0,,0,1000000,0
496,41641,,13.419999999998254,0.03263167,0,,0,1000000,0
497,41719.52,,78.52,0.3054536265775361,0,,0,1000000,0
498,41761.13,,41.61000000000058,0.15077070181556212,0,,0,1000000,0
499,41697.82,,-63.31,-0.288929446,0,,0,1000000,0
500,41715.34,,17.52,0.049814006,0,,0,1000000,0
501,41831.81,,116.47000000000116,0.4644949973366309,0,,0,1000000,0
502,41759.08,,-72.73,-0.328406909,0,,0,1000000,0
503,41632.12,,-126.96,-0.555674723,0,,0,1000000,0
504,41583.99,,-48.13,-0.225312898,0,,0,1000000,0
505,41655.17,,71.18000000000029,0.27469305579041975,0,,0,1000000,0
506,41665.37,,10.200000000004366,0.019137251076642717,0,,0,1000000,0
507,41704.99,,39.61999999999534,0.14243098303265317,0,,0,1000000,0
508,41631.72,,-73.27,-0.330669948,0,,0,1000000,0
509,41760.68,,128.95999999999913,0.5168382574362499,0,,0,1000000,0
510,41612.21,,-148.47,-0.64581912,0,,0,1000000,0
511,41554.05,,-58.16,-0.267346757,0,,0,1000000,0
512,41626.33,,72.27999999999884,0.2793029505950246,0,,0,1000000,0
513,41336.5,,-289.83,-1.238232511,0,,0,1000000,0
514,41291.21,,-45.29,-0.213410988,0,,0,1000000,0
515,41164.16,,-127.05,-0.556051896,0,,0,1000000,0
516,40757.5,,-406.66,-1.727845247,0,,0,1000000,0
517,41099.71,,342.2099999999991,1.4105292275119565,0,,0,1000000,0
518,41165.09,,65.37999999999738,0.25038633772973184,0,,0,1000000,0
519,41005.19,,-159.9,-0.693720118,0,,0,1000000,0
520,40919.06,,-86.13,-0.384563809,0,,0,1000000,0
521,40713.65,,-205.41,-0.884444039,0,,0,1000000,0
522,40664.98,,-48.67,-0.227575937,0,,0,1000000,0
523,40771.74,,106.75999999999476,0.4238021986522659,0,,0,1000000,0
524,40847.17,,75.43000000000029,0.2925040129900528,0,,0,1000000,0
525,40909.27,,62.099999999998545,0.2366404695850787,0,,0,1000000,0
526,40667.27,,-242,-1.037785903,0,,0,1000000,0
527,40708.12,,40.85000000000582,0.14758568358694382,0,,0,1000000,0
528,40460.66,,-247.46,-1.060667745,0,,0,1000000,0
529,40660.87,,200.20999999999913,0.8154337163712749,0,,0,1000000,0
530,40261.78,,-399.09,-1.696120789,0,,0,1000000,0
531,39784.41,,-477.37,-2.024177667,0,,0,1000000,0
532,40139.74,,355.32999999999447,1.465512700090569,0,,0,1000000,0
533,39808.12,,-331.62,-1.413366605,0,,0,1000000,0
534,39789.59,,-18.53,-0.10126482,0,,0,1000000,0
535,39524.27,,-265.32,-1.135515673,0,,0,1000000,0
536,39824,,299.7300000000032,1.2325034717848176,0,,0,1000000,0
537,39790.57,,-33.43,-0.16370794,0,,0,1000000,0
538,40030.22,,239.65000000000146,0.9807193991838796,0,,0,1000000,0
539,39973.58,,-56.64,-0.260976721,0,,0,1000000,0
540,40018.53,,44.94999999999709,0.16476801876772973,0,,0,1000000,0
541,40020,,1.4700000000011642,-0.01744855,0,,0,1000000,0
542,39979.82,,-40.18,-0.191995931,0,,0,1000000,0
543,39741.74,,-238.08,-1.021357914,0,,0,1000000,0
544,39428.9,,-312.84,-1.334663129,0,,0,1000000,0
545,38923.21,,-505.69,-2.142861504,0,,0,1000000,0
546,38887.63,,-35.58,-0.172718189,0,,0,1000000,0
547,38809.59,,-78.04,-0.350660129,0,,0,1000000,0
548,39016.87,,207.2800000000061,0.8450627675245762,0,,0,1000000,0
549,38814.3,,-202.57,-0.872542129,0,,0,1000000,0
550,38706.24,,-108.06,-0.476468349,0,,0,1000000,0
551,39164.39,,458.15000000000146,1.8964121399179565,0,,0,1000000,0
552,39269.53,,105.13999999999942,0.4170130808491312,0,,0,1000000,0
553,39363.76,,94.23,0.37129130601432425,0,,0,1000000,0
554,39055,,-308.76,-1.31756461,0,,0,1000000,0
555,39113.25,,58.25,0.2205058377689466,0,,0,1000000,0
556,39120.89,,7.639999999999418,0.008408769,0,,0,1000000,0
557,39184.92,,64.02999999999884,0.24472873956044272,0,,0,1000000,0
558,39439.31,,254.38999999999942,1.0424919895656575,0,,0,1000000,0
559,39878.3,,438.99000000000524,1.8161161540485677,0,,0,1000000,0
560,40172.4,,294.09999999999854,1.2089091920121078,0,,0,1000000,0
561,39755.82,,-416.58,-1.769418117,0,,0,1000000,0
562,39736.73,,-19.09,-0.103611675,0,,0,1000000,0
563,39592.99,,-143.74,-0.625996573,0,,0,1000000,0
564,39631.41,,38.42000000000553,0.13740200688221121,0,,0,1000000,0
565,39766.8,,135.38999999999942,0.5437851879759312,0,,0,1000000,0
566,39849.88,,83.07999999999447,0.32456373594936794,0,,0,1000000,0
567,39954.2,,104.31999999999971,0.4135766138129679,0,,0,1000000,0
568,39921.06,,-33.14,-0.162492604,0,,0,1000000,0
569,39999.99,,78.93000000000029,0.30717186,0,,0,1000000,0
570,40323.46,,323.47000000000116,1.331993383,0,,0,1000000,0
571,40192.06,,-131.4,-0.574281935,0,,0,1000000,0
572,40020.11,,-171.95,-0.74421942,0,,0,1000000,0
573,39963.98,,-56.13,-0.258839406,0,,0,1000000,0
574,39889.2,,-74.78,-0.336998077,0,,0,1000000,0
575,40028.59,,139.38999999999942,0.560548442,0,,0,1000000,0
576,40166.48,,137.8900000000067,0.5542622216228047,0,,0,1000000,0
577,40115.45,,-51.03,-0.237466257,0,,0,1000000,0
578,39735.52,,-379.93,-1.615824804,0,,0,1000000,0
579,39791.16,,55.640000000006694,0.20956781464167057,0,,0,1000000,0
580,39471.37,,-319.79,-1.363789282,0,,0,1000000,0
581,39777.29,,305.91999999999825,1.258444607,0,,0,1000000,0
582,39868.12,,90.83000000000175,0.3570425402546117,0,,0,1000000,0
583,40077.78,,209.65999999999622,0.8550369035563292,0,,0,1000000,0
584,40158.67,,80.88999999999942,0.31538585447475426,0,,0,1000000,0
585,39969.51,,-189.16,-0.81634332,0,,0,1000000,0
586,39933.01,,-36.5,-0.176573737,0,,0,1000000,0
587,40004.12,,71.11000000000058,0.27439969884830934,0,,0,1000000,0
588,39944.06,,-60.06,-0.275309303,0,,0,1000000,0
589,39855.74,,-88.32,-0.393741691,0,,0,1000000,0
590,40010.6,,154.86000000000058,0.6253803260175493,0,,0,1000000,0
591,40102.71,,92.11000000000058,0.36240678148179045,0,,0,1000000,0
592,40057.73,,-44.98,-0.212111836,0,,0,1000000,0
593,40012.24,,-45.49,-0.21424915,0,,0,1000000,0
594,40088.78,,76.54000000000087,0.29715581592925355,0,,0,1000000,0
595,40154.39,,65.61000000000058,0.2513502248252548,0,,0,1000000,0
596,39840.95,,-313.44,-1.337177617,0,,0,1000000,0
597,39899.45,,58.5,0.2215535411336309,0,,0,1000000,0
598,39990.71,,91.26000000000204,0.3588445900418699,0,,0,1000000,0
599,39781.43,,-209.28,-0.900662487,0,,0,1000000,0
600,39683.54,,-97.89,-0.433847776,0,,0,1000000,0
601,39773.73,,90.19000000000233,0.35436041964102233,0,,0,1000000,0
602,39819.45,,45.71999999999389,0.16799494513094396,0,,0,1000000,0
603,39979.17,,159.72000000000116,0.6457476794270145,0,,0,1000000,0
604,39801.6,,-177.57,-0.767771792,0,,0,1000000,0
605,39904.07,,102.47000000000116,0.4058236089143102,0,,0,1000000,0
606,39936.78,,32.70999999999913,0.11347246203279501,0,,0,1000000,0
607,39941.66,,4.880000000004657,-0.003157877,0,,0,1000000,0
608,39880.36,,-61.3,-0.280505911,0,,0,1000000,0
609,39928.13,,47.77,0.1765861127213674,0,,0,1000000,0
610,40128.02,,199.88999999999942,0.8140926560644803,0,,0,1000000,0
611,40050.68,,-77.34,-0.347726559,0,,0,1000000,0
612,40131.45,,80.77,0.3148829568596948,0,,0,1000000,0
613,40084.58,,-46.87,-0.220032473,0,,0,1000000,0
614,39985.35,,-99.23,-0.439463466,0,,0,1000000,0
615,39970.68,,-14.67,-0.08508828,0,,0,1000000,0
616,40114.87,,144.19000000000233,0.5806643464128308,0,,0,1000000,0
617,40063.59,,-51.28,-0.23851396,0,,0,1000000,0
618,40664.95,,601.3600000000006,2.4965785353437067,0,,0,1000000,0
619,41261.89,,596.9400000000023,2.4780551398560955,0,,0,1000000,0
620,41122.88,,-139.01,-0.606174025,0,,0,1000000,0
621,40997.4,,-125.48,-0.549472319,0,,0,1000000,0
622,41564.34,,566.94,2.352330736093949,0,,0,1000000,0
623,41398.83,,-165.51,-0.717230582,0,,0,1000000,0
624,41954.39,,555.5599999999977,2.304639278933531,0,,0,1000000,0
625,41895.36,,-59.03,-0.270992765,0,,0,1000000,0
626,42096.92,,201.55999999999767,0.821091315,0,,0,1000000,0
627,42060.65,,-36.27,-0.17560985,0,,0,1000000,0
628,41967.75,,-92.9,-0.412935617,0,,0,1000000,0
629,41992.19,,24.44000000000233,0.078814435,0,,0,1000000,0
630,41898.83,,-93.36,-0.414863391,0,,0,1000000,0
631,41814.8,,-84.03,-0.375763101,0,,0,1000000,0
632,41781.06,,-33.74,-0.165007092,0,,0,1000000,0
633,41815.79,,34.73,0.12193790521946121,0,,0,1000000,0
634,41834.34,,18.549999999995634,0.054130543457061704,0,,0,1000000,0
635,41812.9,,-21.44,-0.113460087,0,,0,1000000,0
636,41832.12,,19.220000000001164,0.056938388,0,,0,1000000,0
637,41755.62,,-76.5,-0.344206276,0,,0,1000000,0
638,41700,,-55.62,-0.256702091,0,,0,1000000,0
639,41706.62,,6.620000000002619,0.004134139,0,,0,1000000,0
640,41465.17,,-241.45,-1.035480956,0,,0,1000000,0
641,41665.54,,200.37000000000262,0.8161042465246876,0,,0,1000000,0
642,41745.71,,80.16999999999825,0.31236846878445856,0,,0,1000000,0
643,41759.24,,13.529999999998836,0.03309266,0,,0,1000000,0
644,41745.29,,-13.95,-0.082070894,0,,0,1000000,0
645,41739.55,,-5.74,-0.047664315,0,,0,1000000,0
646,41761.12,,21.56999999999971,0.0667868,0,,0,1000000,0
647,41814.55,,53.43000000000029,0.20030611689783454,0,,0,1000000,0
648,41809.18,,-5.37,-0.046113714,0,,0,1000000,0
649,41778.41,,-30.77,-0.152560376,0,,0,1000000,0
650,41794.59,,16.179999999993015,0.044198315559843576,0,,0,1000000,0
651,41911.68,,117.09000000000378,0.46709330168105895,0,,0,1000000,0
652,42056.66,,144.9800000000032,0.5839750890452368,0,,0,1000000,0
653,42150.26,,93.59999999999854,0.36865109353530034,0,,0,1000000,0
654,42155.01,,4.75,-0.003702682,0,,0,1000000,0
655,42126.55,,-28.46,-0.142879597,0,,0,1000000,0
656,41999.98,,-126.57,-0.554040306,0,,0,1000000,0
657,42099.49,,99.50999999999476,0.3934188010764213,0,,0,1000000,0
658,42105.92,,6.430000000000291,0.003337884,0,,0,1000000,0
659,42220.75,,114.83000000000175,0.4576220632643044,0,,0,1000000,0
660,42707.54,,486.7900000000009,2.0164370373761873,0,,0,1000000,0
661,42556.19,,-151.35,-0.657888663,0,,0,1000000,0
662,42411.87,,-144.32,-0.628427245,0,,0,1000000,0
663,42395.55,,-16.32,-0.092003122,0,,0,1000000,0
664,42494.09,,98.54,0.3893537120214413,0,,0,1000000,0
665,42575.11,,81.02000000000407,0.3159306602244096,0,,0,1000000,0
666,42600.27,,25.159999999996217,0.08183182,0,,0,1000000,0
667,42475.46,,-124.81,-0.546664474,0,,0,1000000,0
668,42415.73,,-59.73,-0.273926334,0,,0,1000000,0
669,42394.61,,-21.12,-0.112119026,0,,0,1000000,0
670,42283.32,,-111.29,-0.490004676,0,,0,1000000,0
671,42252.96,,-30.36,-0.150842143,0,,0,1000000,0
672,42301.04,,48.080000000001746,0.17788526489359666,0,,0,1000000,0
673,42160.07,,-140.97,-0.614388019,0,,0,1000000,0
674,41965.9,,-194.17,-0.837339295,0,,0,1000000,0
